palette, MenuStateBackground, mesh_no_pos_vert, font_frag
regular, levelSelectBubblePaletteControllerUp11, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp12, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp13, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp14, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp15, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp16, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp17, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp18, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp19, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp20, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp21, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp22, bubble_vert, black_frag
regular, levelSelectBubblePaletteControllerUp23, bubble_vert, black_frag
regular, menububblepalettecontroller0, bubble_vert, black_frag
regular, menububblepalettecontroller1, bubble_vert, black_frag
regular, menududemirror, mesh_vert, menudude_frag
regular, sceneaddgeometryasnode, mesh_vert, font_frag
regular, spriteFontShader, mesh_no_pos_vert, font_frag
